I,J,V
445,372,8257143.780386809
445,982,8092199.793787753
1055,372,5092199.793787759
1055,982,8841791.968291339
448,448,-876641.7554991867
448,1058,-3313630.475791321
1058,448,-313630.47579132253
1058,1058,-8245271.297852886
392,448,876641.7554991867
392,1058,3313630.475791321
1002,448,313630.47579132253
1002,1058,8245271.297852886
448,392,5285996.420248918
448,1002,2459264.1591738537
1058,392,5459264.159173852
1058,1002,3620877.1710489923
392,392,-5285996.420248918
392,1002,-2459264.1591738537
1002,392,-5459264.159173852
1002,1002,-3620877.1710489923
448,374,-4409354.664749731
448,984,854366.3166174674
1058,374,-5145633.68338253
1058,984,4624394.126803894
392,374,4409354.664749731
392,984,-854366.3166174674
1002,374,5145633.68338253
1002,984,-4624394.126803894
392,448,-1541653.125451016
392,1058,8165870.965014217
1002,448,2165870.9650142165
1002,1058,-2214220.530027296
374,448,1541653.125451016
374,1058,-8165870.965014217
984,448,-2165870.9650142165
984,1058,2214220.530027296
392,392,-11237004.210449673
392,1002,-2439026.877542171
1002,392,560973.1224578263
1002,1002,-1210703.574272403
374,392,11237004.210449673
374,1002,2439026.877542171
984,392,-560973.1224578263
984,1002,1210703.574272403
392,374,12778657.33590069
392,984,-5726844.087472046
1002,374,-2726844.087472043
1002,984,3424924.104299699
374,374,-12778657.33590069
374,984,5726844.087472046
984,374,2726844.087472043
984,984,-3424924.104299699
374,448,2418294.8809502027
374,1058,-4852240.489222897
984,448,-1852240.4892228942
984,1058,10459491.827880183
448,448,-2418294.8809502027
448,1058,4852240.489222897
1058,448,1852240.4892228942
1058,1058,-10459491.827880183
374,392,5951007.790200756
374,1002,-20237.281631682068
984,392,-6020237.281631677
984,1002,-2410173.5967765898
448,392,-5951007.790200756
448,1002,20237.281631682068
1058,392,6020237.281631677
1058,1002,2410173.5967765898
374,374,-8369302.671150958
374,984,4872477.770854579
984,374,7872477.770854572
984,984,-8049318.231103593
448,374,8369302.671150958
448,984,-4872477.770854579
1058,374,-7872477.770854572
1058,984,8049318.231103593
449,449,-4393747.220014121
449,1059,-5030769.192557739
1059,449,-2030769.1925577326
1059,1059,-2895627.638314856
394,449,4393747.220014121
394,1059,5030769.192557739
1004,449,2030769.1925577326
1004,1059,2895627.638314856
449,394,9881097.667258147
449,1004,-1429918.2994495088
1059,394,1570081.700550476
1059,1004,775197.8163260813
394,394,-9881097.667258147
394,1004,1429918.2994495088
1004,394,-1570081.700550476
1004,1004,-775197.8163260813
449,221,-5487350.447244027
449,831,6460687.492007248
1059,221,460687.4920072565
1059,831,2120429.8219887745
394,221,5487350.447244027
394,831,-6460687.492007248
1004,221,-460687.4920072565
1004,831,-2120429.8219887745
394,449,3469395.0491316966
394,1059,4882486.592374693
1004,449,-1117513.40762532
1004,1059,-5964677.766920524
221,449,-3469395.0491316966
221,1059,-4882486.592374693
831,449,1117513.40762532
831,1059,5964677.766920524
394,394,-11899053.065370504
394,1004,3773092.3838314377
1004,394,6773092.383831443
1004,1004,-4619445.761257788
221,394,11899053.065370504
221,1004,-3773092.3838314377
831,394,-6773092.383831443
831,1004,4619445.761257788
394,221,8429658.016238807
394,831,-8655578.976206131
1004,221,-5655578.976206124
1004,831,10584123.528178312
221,221,-8429658.016238807
221,831,8655578.976206131
831,221,5655578.976206124
831,831,-10584123.528178312
221,449,924352.1708824544
221,1059,148282.6001830746
831,449,3148282.6001830823
831,1059,8860305.40523545
449,449,-924352.1708824544
449,1059,-148282.6001830746
1059,449,-3148282.6001830823
1059,1059,-8860305.40523545
221,394,2017955.398112313
221,1004,-2343174.084381935
831,394,-8343174.084381978
831,1004,3844247.944931727
449,394,-2017955.398112313
449,1004,2343174.084381935
1059,394,8343174.084381978
1059,1004,-3844247.944931727
221,221,-2942307.5689947675
221,831,2194891.484198861
831,221,5194891.484198896
831,831,-12704553.350167178
449,221,2942307.5689947675
449,831,-2194891.484198861
1059,221,-5194891.484198896
1059,831,12704553.350167178
220,220,-11120211.396003727
220,830,6251228.580288256
830,220,9251228.580288269
830,830,-9541877.955115337
392,220,11120211.396003727
392,830,-6251228.580288256
1002,220,-9251228.580288269
1002,830,9541877.955115337
220,392,4563661.969277503
220,1002,-6740817.737444704
830,392,-3740817.737444707
830,1002,12094215.206350293
392,392,-4563661.969277503
392,1002,6740817.737444704
1002,392,3740817.737444707
1002,1002,-12094215.206350293
220,448,6556549.426726223
220,1058,489589.1571564493
830,448,-5510410.8428435605
830,1058,-2552337.251234957
392,448,-6556549.426726223
392,1058,-489589.1571564493
1002,448,5510410.8428435605
1002,1058,2552337.251234957
392,220,-2560676.746101363
392,830,-72187.93568874872
1002,220,-6072187.935688762
1002,830,5627430.752161976
448,220,2560676.746101363
448,830,72187.93568874872
1058,220,6072187.935688762
1058,830,-5627430.752161976
392,392,-567789.2886526443
392,1002,-1841781.0410875888
1002,392,1158218.9589124147
1002,1002,-9019121.705423284
448,392,567789.2886526443
448,1002,1841781.0410875888
1058,392,-1158218.9589124147
1058,1002,9019121.705423284
392,448,3128466.034754007
392,1058,1913968.9767763375
1002,448,4913968.976776347
1002,1058,3391690.9532613084
448,448,-3128466.034754007
448,1058,-1913968.9767763375
1058,448,-4913968.976776347
1058,1058,-3391690.9532613084
448,220,13680888.142105091
448,830,-6179040.644599507
1058,220,-3179040.644599506
1058,830,3914447.202953362
220,220,-13680888.142105091
220,830,6179040.644599507
830,220,3179040.644599506
830,830,-3914447.202953362
448,392,-3995872.6806248585
448,1002,8582598.778532295
1058,392,2582598.7785322927
1058,1002,-3075093.50092701
220,392,3995872.6806248585
220,1002,-8582598.778532295
830,392,-2582598.7785322927
830,1002,3075093.50092701
448,448,-9685015.46148023
448,1058,-2403558.1339327875
1058,448,596441.8660672131
1058,1058,-839353.7020263516
220,448,9685015.46148023
220,1058,2403558.1339327875
830,448,-596441.8660672131
830,1058,839353.7020263516
446,446,-2868335.2912381273
446,1056,2023579.3738218704
1056,446,5023579.373821879
1056,1056,-4412657.955077953
393,446,2868335.2912381273
393,1056,-2023579.3738218704
1003,446,-5023579.373821879
1003,1056,4412657.955077953
446,393,792009.7843458045
446,1003,-1553866.9408623949
1056,393,1446133.0591376075
1056,1003,9948973.735865055
393,393,-792009.7843458045
393,1003,1553866.9408623949
1003,393,-1446133.0591376075
1003,1003,-9948973.735865055
446,218,2076325.506892323
446,828,-469712.4329594758
1056,218,-6469712.432959487
1056,828,-5536315.780787103
393,218,-2076325.506892323
393,828,469712.4329594758
1003,218,6469712.432959487
1003,828,5536315.780787103
393,446,-5923990.133256222
393,1056,1123243.0372678004
1003,446,-4876756.9627322
1003,1056,3504565.989119539
218,446,5923990.133256222
218,1056,-1123243.0372678004
828,446,4876756.9627322
828,1056,-3504565.989119539
393,393,-4639674.410709695
393,1003,-6792602.45482927
1003,393,-3792602.4548292714
1003,1003,-11980723.527532583
218,393,4639674.410709695
218,1003,6792602.45482927
828,393,3792602.4548292714
828,1003,11980723.527532583
393,218,10563664.543965917
393,828,5669359.41756147
1003,218,8669359.417561471
1003,828,8476157.538413046
218,218,-10563664.543965917
218,828,-5669359.41756147
828,218,-8669359.417561471
828,828,-8476157.538413046
218,446,8792325.424494354
218,1056,-3146822.4110896685
828,446,-146822.41108965862
828,1056,908091.9659583963
446,446,-8792325.424494354
446,1056,3146822.4110896685
1056,446,146822.41108965862
1056,1056,-908091.9659583963
218,393,3847664.6263639014
218,1003,8346469.395691673
828,393,2346469.395691675
828,1003,2031749.791667575
446,393,-3847664.6263639014
446,1003,-8346469.395691673
1056,393,-2346469.395691675
1056,1003,-2031749.791667575
218,218,-12639990.050858257
218,828,-5199646.984602006
828,218,-2199646.9846020164
828,828,-2939841.7576259715
446,218,12639990.050858257
446,828,5199646.984602006
1056,218,2199646.9846020164
1056,828,2939841.7576259715
219,219,-9918415.46761082
219,829,-9630211.350388728
829,219,-6630211.3503887225
829,829,-11924540.704956943
391,219,9918415.46761082
391,829,9630211.350388728
1001,219,6630211.3503887225
1001,829,11924540.704956943
219,391,11897309.261203788
219,1001,3881829.9051076923
829,391,6881829.905107691
829,1001,4767461.0859592445
391,391,-11897309.261203788
391,1001,-3881829.9051076923
1001,391,-6881829.905107691
1001,1001,-4767461.0859592445
219,445,-1978893.7935929697
219,1055,5748381.445281036
829,445,-251618.5547189687
829,1055,7157079.618997699
391,445,1978893.7935929697
391,1055,-5748381.445281036
1001,445,251618.5547189687
1001,1055,-7157079.618997699
391,219,5483656.788738018
391,829,5972200.261926351
1001,219,-27799.73807363212
1001,829,-2785471.9912526812
445,219,-5483656.788738018
445,829,-5972200.261926351
1055,219,27799.73807363212
1055,829,2785471.9912526812
391,391,-8392546.266058676
391,1001,-1161248.19790028
1001,391,1838751.8020997164
1001,1001,-395853.4582142163
445,391,8392546.266058676
445,1001,1161248.19790028
1055,391,-1838751.8020997164
1055,1001,395853.4582142163
391,445,2908889.477320659
391,1055,-4810952.064026072
1001,445,-1810952.0640260843
1001,1055,3181325.4494668976
445,445,-2908889.477320659
445,1055,4810952.064026072
